plant_species,plant_accepted_name,plant_family
Heliconia spathocircinata,Heliconia spathocircinata subsp. spathocircinata ,Heliconiaceae
Spondias tuberosa,Spondias tuberosa Arruda,Anacardiaceae
Adenocalymma bracteatum,Adenocalymma bracteatum (Cham.) DC.,Bignoniaceae
Chamaecrista nictitans,Chamaecrista nictitans (L.) Moench,Fabaceae
Chamaecrista flexuosa,Chamaecrista flexuosa (L.) Greene,Fabaceae
Chamaecrista amiciella,Chamaecrista amiciella (H.S.Irwin & Barneby) H.S.Irwin & Barneby,Fabaceae
Chamaecrista calycioides,Chamaecrista calycioides (DC. ex Collad.) Greene,Fabaceae
Chamaecrista repens,Chamaecrista repens (Vogel) H.S.Irwin & Barneby,Fabaceae
Chamaecrista rotundifolia,Chamaecrista rotundifolia (Pers.) Greene,Fabaceae
Senna macranthera,Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,Fabaceae
Senna macranthera var. pudibunda,Senna macranthera var. pudibunda (Mart. ex Benth.) H.S.Irwin & Barneby,Fabaceae
Senna martiana,Senna martiana (Benth.) H.S.Irwin & Barneby,Fabaceae
Acacia gerrardii,Acacia gerrardii Benth.,Fabaceae
Echinopsis schickendantzii,Echinopsis schickendantzii F.A.C.Weber,Cactaceae
Daphne laureola,Daphne laureola L.,Thymelaeaceae
Coriandrum sativum,Coriandrum sativum L.,Apiaceae
Pulicaria undulata,Pulicaria undulata (L.) Kostel.,NA
Calotropis procera,Calotropis procera (Aiton) Dryand.,Apocynaceae
Heliotropium ramosissimum,Heliotropium ramosissimum Sieber ex DC.,Boraginaceae
Prosopis farcta,Prosopis farcta (Banks & Sol.) J.F.Macbr.,Fabaceae
Mentha longifolia,Mentha longifolia (L.) L.,NA
Peganum harmala,Peganum harmala L.,Nitrariaceae
Ochradenus baccatus,Ochradenus baccatus Delile,Resedaceae
Reseda alba,Reseda alba L.,Resedaceae
Tamarix sp.,Tamarix L.,Tamaricaceae
Zygophyllum coccineum,Zygophyllum coccineum L.,Zygophyllaceae
Qualea multiflora,Qualea multiflora Mart.,Vochysiaceae
Qualea parviflora,Qualea parviflora Mart.,Vochysiaceae
Handroanthus serratifolius,Handroanthus serratifolius (Vahl) S.O.Grose,Bignoniaceae
Lippia alba,Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson,Verbenaceae
Solanum mauritianum,Solanum mauritianum Scop.,Solanaceae
Psychotria limonensis,Psychotria limonensis K.Krause,Rubiaceae
Tecoma stans,Tecoma stans (L.) Juss. ex Kunth,Bignoniaceae
Stylosanthes capitata,Stylosanthes capitata Vogel,Fabaceae
Passiflora chrysophylla,Passiflora chrysophylla Chodat,Passifloraceae
Ptelea trifoliata,Ptelea trifoliata L.,Rutaceae
Pseudomisopates rivas-martinezii,Pseudomisopates rivas-martinezii (Sánchez Mata) Güemes,Plantaginaceae
Canavalia brasiliensis,Canavalia brasiliensis Mart. ex Benth.,Fabaceae
Clitoria fairchildiana,Clitoria fairchildiana R.A.Howard,Fabaceae
Centrosema pascuorum,Centrosema pascuorum Mart. ex Benth.,Fabaceae
Crotalaria micans,Crotalaria micans Link,Fabaceae
Dioclea violacea,Dioclea violacea Mart. ex Benth.,Fabaceae
Lathyrus pubescens,Lathyrus pubescens Clos,NA
Habenaria johannensis,Habenaria johannensis Barb.Rodr.,Orchidaceae
Habenaria paulistana,Habenaria paulistana J.A.N.Bat. & Bianch.,Orchidaceae
Hillia parasitica,Hillia parasitica Jacq.,Rubiaceae
Posoqueria latifolia,Posoqueria latifolia (Rudge) Schult.,Rubiaceae
Schubertia grandiflora,Schubertia grandiflora Mart.,Apocynaceae
Scybalium fungiforme,Scybalium fungiforme Schott & Endl.,Balanophoraceae
Inga sessilis,Inga sessilis Mart.,Fabaceae
Passiflora caerulea,Passiflora caerulea L.,Passifloraceae
Passiflora foetida,Passiflora foetida L.,Passifloraceae
Passiflora misera,Passiflora misera Kunth,Passifloraceae
Passiflora suberosa,Passiflora suberosa L.,Passifloraceae
Lantana camara,Lantana camara L.,Verbenaceae
Dimorphoteca pluvialis,Dimorphotheca pluvialis Moench,Asteraceae
Camelina sativa,Camelina sativa (L.) Crantz,Brassicaceae
